כותרת,נושא,כותב,שם_קובץ
שבת שובה,תשובה,הרב מאיר מימון,מאיר מימון 1 שבת תשובה.pdf
תשובה וקורבנות,רעיון להמחשבה של התשובה,עמיחי חלמיש,דבר תורה לשבת שובה מבוסס על רעיונות שכתב הרב עזריאל אריאל.pdf
